date,total_usd_millions,cumulative_usd_millions
2024-07-23,106.6,106.6
2024-07-24,-133.29999999999995,-26.69999999999996
2024-07-25,-152.4,-179.09999999999997
2024-07-26,-162.70000000000002,-341.79999999999995
2024-07-27,0.0,-341.79999999999995
2024-07-28,0.0,-341.79999999999995
2024-07-29,-98.29999999999998,-440.0999999999999
2024-07-30,33.699999999999996,-406.3999999999999
2024-07-31,-77.20000000000002,-483.5999999999999
2024-08-01,26.700000000000003,-456.8999999999999
2024-08-02,-54.3,-511.19999999999993
2024-08-03,0.0,-511.19999999999993
2024-08-04,0.0,-511.19999999999993
2024-08-05,48.800000000000004,-462.3999999999999
2024-08-06,98.4,-363.9999999999999
2024-08-07,-23.699999999999996,-387.6999999999999
2024-08-08,-2.900000000000002,-390.59999999999985
2024-08-09,-15.800000000000002,-406.39999999999986
2024-08-10,0.0,-406.39999999999986
2024-08-11,0.0,-406.39999999999986
2024-08-12,5.0,-401.39999999999986
2024-08-13,24.299999999999997,-377.09999999999985
2024-08-14,10.800000000000004,-366.29999999999984
2024-08-15,-39.2,-405.49999999999983
2024-08-16,-15.0,-420.49999999999983
2024-08-17,0.0,-420.49999999999983
2024-08-18,0.0,-420.49999999999983
2024-08-19,-13.500000000000002,-433.99999999999983
2024-08-20,-6.5,-440.49999999999983
2024-08-21,-18.000000000000004,-458.49999999999983
2024-08-22,-0.7999999999999998,-459.29999999999984
2024-08-23,-5.700000000000001,-464.99999999999983
2024-08-24,0.0,-464.99999999999983
2024-08-25,0.0,-464.99999999999983
2024-08-26,-13.2,-478.1999999999998
2024-08-27,-3.3999999999999995,-481.5999999999998
2024-08-28,5.900000000000001,-475.6999999999998
2024-08-29,-1.6999999999999997,-477.3999999999998
2024-08-30,0.0,-477.3999999999998
2024-08-31,0.0,-477.3999999999998
2024-09-01,0.0,-477.3999999999998
2024-09-02,0.0,-477.3999999999998
2024-09-03,-47.4,-524.7999999999998
2024-09-04,-37.5,-562.2999999999998
2024-09-05,-0.20000000000000018,-562.4999999999999
2024-09-06,-5.999999999999999,-568.4999999999999
2024-09-07,0.0,-568.4999999999999
2024-09-08,0.0,-568.4999999999999
2024-09-09,-5.200000000000001,-573.6999999999999
2024-09-10,11.399999999999999,-562.3
2024-09-11,-0.5,-562.8
2024-09-12,-20.1,-582.9
2024-09-13,1.5,-581.4
2024-09-14,0.0,-581.4
2024-09-15,0.0,-581.4
