date,total_usd_millions,cumulative_usd_millions
2024-01-11,655.3,655.3
2024-01-12,203.0,858.3
2024-01-13,0.0,858.3
2024-01-14,0.0,858.3
2024-01-15,0.0,858.3
2024-01-16,-52.7,805.5999999999999
2024-01-17,453.8,1259.3999999999999
2024-01-18,-126.6,1132.8
2024-01-19,43.6,1176.3999999999999
2024-01-20,0.0,1176.3999999999999
2024-01-21,0.0,1176.3999999999999
2024-01-22,-87.4,1088.9999999999998
2024-01-23,-106.1,982.8999999999997
2024-01-24,-158.3,824.5999999999997
2024-01-25,-79.8,744.7999999999997
2024-01-26,14.8,759.5999999999997
2024-01-27,0.0,759.5999999999997
2024-01-28,0.0,759.5999999999997
2024-01-29,255.1,1014.6999999999997
2024-01-30,247.3,1261.9999999999998
2024-01-31,197.6,1459.5999999999997
2024-02-01,38.5,1498.0999999999997
2024-02-02,80.0,1578.0999999999997
2024-02-03,0.0,1578.0999999999997
2024-02-04,0.0,1578.0999999999997
2024-02-05,68.1,1646.1999999999996
2024-02-06,33.6,1679.7999999999995
2024-02-07,146.0,1825.7999999999995
2024-02-08,405.0,2230.7999999999993
2024-02-09,541.5,2772.2999999999993
2024-02-10,0.0,2772.2999999999993
2024-02-11,0.0,2772.2999999999993
2024-02-12,493.4,3265.6999999999994
2024-02-13,636.3,3901.999999999999
2024-02-14,339.7,4241.699999999999
2024-02-15,477.4,4719.0999999999985
2024-02-16,330.3,5049.399999999999
2024-02-17,0.0,5049.399999999999
2024-02-18,0.0,5049.399999999999
2024-02-19,0.0,5049.399999999999
2024-02-20,135.6,5184.999999999999
2024-02-21,-35.6,5149.399999999999
2024-02-22,251.4,5400.799999999998
2024-02-23,232.5,5633.299999999998
2024-02-24,0.0,5633.299999999998
2024-02-25,0.0,5633.299999999998
2024-02-26,519.9,6153.199999999998
2024-02-27,576.9,6730.099999999998
2024-02-28,673.4,7403.499999999997
2024-02-29,92.3,7495.799999999997
2024-03-01,-139.6,7356.199999999997
2024-03-02,0.0,7356.199999999997
2024-03-03,0.0,7356.199999999997
2024-03-04,562.7,7918.899999999997
2024-03-05,648.3,8567.199999999997
2024-03-06,332.0,8899.199999999997
2024-03-07,472.5,9371.699999999997
2024-03-08,223.0,9594.699999999997
2024-03-09,0.0,9594.699999999997
2024-03-10,0.0,9594.699999999997
2024-03-11,505.4,10100.099999999997
2024-03-12,1045.0,11145.099999999997
2024-03-13,683.7,11828.799999999997
2024-03-14,132.7,11961.499999999998
2024-03-15,198.8,12160.299999999997
2024-03-16,0.0,12160.299999999997
2024-03-17,0.0,12160.299999999997
2024-03-18,-154.3,12005.999999999998
2024-03-19,-326.2,11679.799999999997
2024-03-20,-261.5,11418.299999999997
2024-03-21,-94.0,11324.299999999997
2024-03-22,-51.6,11272.699999999997
2024-03-23,0.0,11272.699999999997
2024-03-24,0.0,11272.699999999997
2024-03-25,15.4,11288.099999999997
2024-03-26,418.0,11706.099999999997
2024-03-27,243.5,11949.599999999997
2024-03-28,182.8,12132.399999999996
2024-03-29,0.0,12132.399999999996
2024-03-30,0.0,12132.399999999996
2024-03-31,0.0,12132.399999999996
2024-04-01,-85.7,12046.699999999995
2024-04-02,39.5,12086.199999999995
2024-04-03,113.5,12199.699999999995
2024-04-04,213.4,12413.099999999995
2024-04-05,203.0,12616.099999999995
2024-04-06,0.0,12616.099999999995
2024-04-07,0.0,12616.099999999995
2024-04-08,-223.8,12392.299999999996
2024-04-09,-19.4,12372.899999999996
