date,Blackrock ETHA 0.25%,Fidelity FETH 0.25%,Bitwise ETHW 0.20%,21 Shares TETH 0.21%,VanEck ETHV 0.20%,Invesco QETH 0.25%,Franklin EZET 0.19%,Grayscale ETHE 2.50%,Grayscale ETH 0.15%,Total Unnamed: 10_level_1 Unnamed: 10_level_2,Total
2024-07-23,266.5,71.3,204.0,7.5,7.6,5.5,13.2,-484.1,15.1,106.6,213.2
2024-07-24,17.4,74.5,29.6,0.0,19.8,2.5,3.9,-326.9,45.9,-133.3,-266.59999999999997
2024-07-25,70.9,34.3,16.3,0.0,8.0,6.2,0.0,-346.2,58.1,-152.4,-304.8
2024-07-26,87.2,39.3,16.0,0.0,0.0,0.0,6.2,-356.3,44.9,-162.7,-325.4
2024-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-29,58.2,24.8,10.4,0.0,10.9,0.0,2.5,-210.0,4.9,-98.3,-196.59999999999997
2024-07-30,118.0,16.4,3.5,0.0,0.0,0.0,3.7,-120.3,12.4,33.7,67.4
2024-07-31,5.0,18.8,4.7,3.3,4.8,0.0,0.0,-133.3,19.5,-77.2,-154.40000000000003
2024-08-01,89.6,11.7,3.4,0.0,0.0,0.0,0.0,-78.0,0.0,26.7,53.400000000000006
2024-08-02,0.0,6.0,0.0,0.0,0.0,0.0,1.1,-61.4,0.0,-54.3,-108.6
2024-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-05,47.1,16.2,7.2,0.0,16.6,0.0,0.9,-46.8,7.6,48.8,97.6
2024-08-06,109.9,22.5,0.0,0.0,0.0,0.0,1.0,-39.7,4.7,98.4,196.8
2024-08-07,0.0,4.7,1.7,0.0,0.0,0.0,1.8,-31.9,0.0,-23.7,-47.39999999999999
2024-08-08,11.7,-2.6,2.8,0.0,0.0,0.0,0.0,-19.8,5.0,-2.9,-5.8000000000000025
2024-08-09,19.6,3.9,0.0,0.0,0.0,0.0,0.0,-41.7,2.4,-15.8,-31.6
2024-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,0.0,4.0,2.9,0.0,-2.9,0.0,1.0,0.0,0.0,5.0,10.0
